datarate,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRQ_1,PCell_RSRQ_2,PCell_RSSI_1,PCell_RSSI_2,PCell_SNR_1,PCell_SNR_2,date
18000000.0,-107.55125,-107.61375,-10.134375,-11.673125,-77.415,-75.94,7.972000007629394,7.781999969482422,2021-06-22 10:07:49+02:00
16100000.000000002,-106.976875,-107.576875,-9.554375,-11.474375,-77.41875,-76.10125,9.172000045776366,8.526999983787537,2021-06-22 10:07:50+02:00
15200000.0,-106.678125,-106.749375,-9.35125,-11.3375,-77.3275,-75.414375,9.946000008583068,9.760999937057495,2021-06-22 10:07:51+02:00
17000000.0,-106.200625,-104.410625,-9.179375,-10.945625,-77.01625,-73.46625,10.411999959945678,11.666999969482422,2021-06-22 10:07:52+02:00
16900000.0,-106.65125,-106.65,-9.360625,-11.3425,-77.286875,-75.3125,9.903000011444092,9.705000004768372,2021-06-22 10:07:53+02:00
19200000.0,-106.95625,-107.058125,-9.50875,-11.36,-77.449375,-75.7,9.457999982833861,9.462000012397766,2021-06-22 10:07:54+02:00
15800000.0,-106.26375,-106.364375,-9.211875,-11.365,-77.044375,-74.99625,10.56600000858307,9.64199999809265,2021-06-22 10:07:55+02:00
18300000.0,-106.27625,-104.77,-9.36125,-11.158125,-76.91,-73.61,10.614000029563904,11.539000000953674,2021-06-22 10:07:56+02:00
20400000.0,-107.34375,-105.79625,-9.79375,-11.683125,-77.55125,-74.11375,9.644000024795533,10.193000001907349,2021-06-22 10:07:57+02:00
15100000.0,-106.83125,-106.774375,-9.63625,-11.605625,-77.196875,-75.17125,10.333000030517578,9.751999983787536,2021-06-22 10:07:58+02:00
16000000.0,-106.688125,-105.9325,-9.6625,-11.51,-77.029375,-74.425,9.586999979019165,9.527999978065491,2021-06-22 10:07:59+02:00
16300000.0,-106.550625,-106.08625,-9.470625,-11.296875,-77.079375,-74.7925,10.798000020980835,10.735999999046326,2021-06-22 10:08:00+02:00
17300000.0,-106.52375,-106.02,-9.2575,-11.326875,-77.2675,-74.696875,11.23099998474121,10.677000017166138,2021-06-22 10:08:01+02:00
18200000.0,-107.113125,-106.36625,-9.415625,-11.298125,-77.7,-75.066875,10.270000004768372,10.381000051498413,2021-06-22 10:08:02+02:00
17500000.0,-107.1125,-106.708125,-9.379375,-11.33875,-77.735,-75.369375,10.465999941825867,10.260000019073486,2021-06-22 10:08:03+02:00
17500000.0,-106.94125,-105.98625,-9.363125,-11.18875,-77.574375,-74.80375,11.024999980926514,11.028999996185302,2021-06-22 10:08:04+02:00
19600000.0,-107.20375,-106.045625,-9.50125,-11.263125,-77.70375,-74.78125,10.524999985694885,10.839000015258788,2021-06-22 10:08:05+02:00
16900000.0,-107.34875,-106.499375,-9.545625,-11.26875,-77.801875,-75.23125,10.048000044822693,10.104999990463257,2021-06-22 10:08:06+02:00
19300000.0,-106.920625,-106.42375,-9.355,-11.245,-77.56625,-75.17875,11.120999975204468,10.720000009536744,2021-06-22 10:08:07+02:00
18300000.0,-106.73625,-106.015,-9.395625,-11.163125,-77.338125,-74.8525,11.138000001907349,10.919999957084656,2021-06-22 10:08:08+02:00
18000000.0,-106.580625,-106.164375,-9.23,-11.233125,-77.35,-74.93,10.825000004768372,10.584000024795532,2021-06-22 10:08:09+02:00
