datarate,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRQ_1,PCell_RSRQ_2,PCell_RSSI_1,PCell_RSSI_2,PCell_SNR_1,PCell_SNR_2,date
70500000.0,-95.5275,-94.87625,-15.885625,-15.480625,-59.6425,-59.39625,14.664000024795532,15.514999961853027,2021-06-22 09:49:54+02:00
73900000.0,-93.81125,-94.8325,-16.24875,-15.623125,-57.566875,-59.20875,16.40299995422363,14.729000015258789,2021-06-22 09:49:55+02:00
72600000.0,-94.293125,-95.554375,-15.85375,-15.485625,-58.434375,-60.070625,16.34700005531311,14.648000011444092,2021-06-22 09:49:56+02:00
79200000.0,-93.298125,-94.48625,-15.538125,-15.30375,-57.7575,-59.1825,17.677000007629395,16.03300001144409,2021-06-22 09:49:57+02:00
85400000.0,-94.1125,-95.24625,-15.365625,-15.04375,-58.750625,-60.20375,16.317999992370606,14.854000015258789,2021-06-22 09:49:58+02:00
83600000.0,-93.25375,-95.190625,-15.605,-15.328125,-57.648125,-59.868125,17.375000057220458,14.603000059127808,2021-06-22 09:49:59+02:00
79700000.0,-93.570625,-95.475,-16.058125,-15.51,-57.515,-59.964375,16.107000036239626,13.54700008392334,2021-06-22 09:50:00+02:00
84800000.0,-94.15375,-95.910625,-15.4075,-15.1425,-58.748125,-60.76625,15.762000017166137,13.531000022888184,2021-06-22 09:50:01+02:00
81100000.0,-93.530625,-95.465625,-15.723125,-15.0475,-57.808125,-60.41625,15.846000003814698,13.77100001335144,2021-06-22 09:50:02+02:00
81100000.0,-93.925625,-94.820625,-15.774375,-15.0575,-58.1525,-59.758125,14.846999959945679,13.733000025749206,2021-06-22 09:50:03+02:00
82100000.0,-93.88875,-94.629375,-15.319375,-14.799375,-58.573125,-59.830625,15.860999994277954,15.097999982833862,2021-06-22 09:50:04+02:00
85500000.0,-94.018125,-95.088125,-15.163125,-14.884375,-58.848125,-60.205625,16.038000020980835,14.746999979019165,2021-06-22 09:50:05+02:00
