datarate,PCell_RSRP_max,PCell_RSRQ_max,PCell_RSSI_max,PCell_SNR_1,PCell_SNR_2,PCell_Downlink_Num_RBs,PCell_Downlink_TB_Size,PCell_Downlink_Average_MCS,PCell_Downlink_frequency,PCell_Downlink_bandwidth_MHz,PCell_Cell_Identity,PCell_freq_MHz,SCell_RSRP_max,SCell_RSRQ_max,SCell_RSSI_max,SCell_SNR_1,SCell_SNR_2,SCell_Downlink_Num_RBs,SCell_Downlink_TB_Size,SCell_Downlink_Average_MCS,SCell_Downlink_frequency,SCell_Downlink_bandwidth_MHz,SCell_Cell_Identity,SCell_freq_MHz,Latitude,Longitude,Altitude,speed_kmh,COG,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,cloudCover,uvIndex,visibility,Traffic Jam Factor,date
70500000.0,-94.795625,-15.440625,-59.39625,14.664000024795532,15.514999961853027,30489.0,3364386.0,23.0,1300.0,20,33802242.0,1800.0,-86.6525,-9.699375,-56.9275,21.267999954223633,23.543999938964845,46482.0,7188590.0,26.0,3050.0,20,33802248.0,2600.0,52.513848333333335,13.334831666666666,32.3,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:49:54
73900000.0,-93.803125,-15.58375,-59.20875,16.40299995422363,14.729000015258789,33558.0,3916249.0,23.0,1300.0,20,33802242.0,1800.0,-87.046875,-9.76875,-57.2475,21.282999992370605,23.767999935150147,44070.0,6376363.0,25.0,3050.0,20,33802248.0,2600.0,52.513841666666664,13.33483,32.2,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:49:55
72600000.0,-94.279375,-15.430625,-60.070625,16.34700005531311,14.648000011444092,29961.0,3543707.0,23.0,1300.0,20,33802242.0,1800.0,-87.580625,-10.02875,-57.5425,21.256000003814698,23.332999992370606,49464.0,7748498.0,26.0,3050.0,20,33802248.0,2600.0,52.513841666666664,13.334831666666666,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:49:56
79200000.0,-93.298125,-15.189375,-59.1825,17.677000007629395,16.03300001144409,41403.0,4930241.0,24.0,1300.0,20,33802242.0,1800.0,-86.43875,-9.688125,-56.75,21.714000072479248,24.176000003814696,47460.0,7511683.0,27.0,3050.0,20,33802248.0,2600.0,52.513841666666664,13.334831666666666,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:49:57
85400000.0,-94.1125,-14.88125,-60.20375,16.317999992370606,14.854000015258789,36865.0,4082610.0,23.0,1300.0,20,33802242.0,1800.0,-86.760625,-9.750625,-56.98875,23.12699998855591,24.23499994277954,51040.0,7983674.0,27.0,3050.0,20,33802248.0,2600.0,52.51384,13.334833333333334,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:49:58
83600000.0,-93.25375,-15.25,-59.868125,17.375000057220458,14.603000059127808,45575.0,5379074.0,23.0,1300.0,20,33802242.0,1800.0,-86.556875,-9.670625,-56.86625,23.33100009918213,24.479000034332277,43524.0,6875488.0,27.0,3050.0,20,33802248.0,2600.0,52.51383833333333,13.334833333333334,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:49:59
79700000.0,-93.570625,-15.465625,-59.964375,16.107000036239626,13.54700008392334,43816.0,5047511.0,23.0,1300.0,20,33802242.0,1800.0,-86.724375,-9.72,-56.993125,23.201000061035156,24.530000019073487,45589.0,6953456.0,26.0,3050.0,20,33802248.0,2600.0,52.51383666666667,13.334833333333334,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:50:00
84800000.0,-94.15375,-14.98,-60.76625,15.762000017166137,13.531000022888184,44353.0,4688311.0,22.0,1300.0,20,33802242.0,1800.0,-86.0775,-9.6775,-56.399375,23.524999961853027,24.664999961853027,45792.0,7240422.0,27.0,3050.0,20,33802248.0,2600.0,52.513835,13.334831666666666,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:50:01
81100000.0,-93.530625,-15.00875,-60.41625,15.846000003814698,13.77100001335144,45900.0,5284025.0,23.0,1300.0,20,33802242.0,1800.0,-86.54375,-9.69,-56.8275,23.15199996948242,24.71999990463257,46847.0,6772211.0,25.0,3050.0,20,33802248.0,2600.0,52.51383333333333,13.33483,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:50:02
81100000.0,-93.925625,-15.035625,-59.758125,14.846999959945679,13.733000025749206,44414.0,5000426.0,23.0,1300.0,20,33802242.0,1800.0,-87.388125,-9.701875,-57.674375,22.771999969482422,24.26700002670288,44568.0,6612251.0,26.0,3050.0,20,33802248.0,2600.0,52.51383166666667,13.33483,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:50:03
82100000.0,-93.88625,-14.763125,-59.830625,15.860999994277954,15.097999982833862,45054.0,4886960.0,22.0,1300.0,20,33802242.0,1800.0,-86.541875,-9.688125,-56.853125,23.560999984741212,24.63499994277954,47742.0,7730235.0,27.0,3050.0,20,33802248.0,2600.0,52.51383,13.33483,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:50:04
85500000.0,-94.018125,-14.81375,-60.205625,16.038000020980835,14.746999979019165,41374.0,4457467.0,22.0,1300.0,20,33802242.0,1800.0,-85.785,-9.6675,-56.096875,23.64900001525879,24.948000087738038,45442.0,6725060.0,26.0,3050.0,20,33802248.0,2600.0,52.513828333333336,13.33483,32.1,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:50:05
74200000.0,-93.41875,-15.11875,-60.11125,16.7989999294281,14.094000024795532,44511.0,5574020.0,24.0,1300.0,20,33802242.0,1800.0,-85.136875,-9.600625,-55.533125,23.21699998855591,25.368999938964844,47585.0,5806683.0,23.0,3050.0,20,33802248.0,2600.0,52.513828333333336,13.334828333333334,32.2,0.0,265.9,0.0653,0.04,18.13,18.13,14.04,0.77,1011.9,4.07,0.97,3.0,16.093,2.53146,2021-06-22 09:50:06
