date,datarate,PCell_Downlink_TB_Size,PCell_SNR_1,PCell_SNR_2,PCell_Downlink_Average_MCS,PCell_RSSI_1,PCell_RSSI_2,PCell_RSSI_max,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRP_max,PCell_Downlink_Num_RBs,PCell_RSRQ_1,PCell_RSRQ_2,PCell_RSRQ_max
2021-06-22 09:49:54+02:00,24500000.0,2343621.0,4.7770000018179415,-1.5719999984651805,22.0,-57.894375,-86.98875,-86.98875,-98.24125,-126.8175,-98.24125,41539.0,-20.3475,-19.831875,-19.69625
2021-06-22 09:49:55+02:00,20800000.0,1509985.0,4.5620000129938125,-2.9089999997615816,21.0,-59.30875,-87.905625,-87.905625,-99.2425,-128.095,-99.2425,28289.0,-19.930625,-20.181875,-19.70125
2021-06-22 09:49:56+02:00,18100000.0,1678459.0,4.796999985724687,-2.0429999899864195,21.0,-58.50125,-87.23,-87.23,-98.956875,-127.39,-98.956875,31468.0,-20.456875,-20.16375,-20.036875
2021-06-22 09:49:57+02:00,20400000.0,2027737.0,3.7180000101029873,-3.0709999978542326,19.0,-58.869375,-87.34625,-87.34625,-99.23375,-128.060625,-99.23375,42904.0,-20.364375,-20.713125,-20.245
2021-06-22 09:49:58+02:00,20100000.0,1964513.0,3.8429999854415655,-2.9239999890327453,20.0,-59.17625,-87.603125,-87.603125,-99.3375,-127.988125,-99.3375,40454.0,-20.16375,-20.38375,-19.993125
2021-06-22 09:49:59+02:00,21100000.0,2239291.0,4.508999992758036,-2.4089999949932097,21.0,-58.17625,-86.848125,-86.848125,-99.058125,-127.6425,-99.058125,40542.0,-20.87625,-20.793125,-20.665
2021-06-22 09:50:00+02:00,25500000.0,2055156.0,2.3990000081807374,-2.204999992251396,21.0,-57.6425,-86.080625,-86.080625,-98.236875,-126.744375,-98.236875,38105.0,-20.593125,-20.663125,-20.314375
2021-06-22 09:50:01+02:00,21500000.0,1921922.0,2.4409999928623436,-1.8809999945759772,21.0,-57.5575,-86.259375,-86.259375,-98.29375,-126.731875,-98.29375,34960.0,-20.7375,-20.47,-20.28125
2021-06-22 09:50:02+02:00,20700000.0,2204703.0,3.2240000036358833,-2.0119999979436396,21.0,-56.575,-86.144375,-86.144375,-97.98375,-126.9825,-97.98375,39978.0,-21.40125,-20.841875,-20.66
2021-06-22 09:50:19+02:00,22700000.0,2929416.0,11.343999977111816,0.4520000026375055,26.0,-56.115625,-85.189375,-85.189375,-93.82875,-124.8725,-93.82875,39163.0,-17.71125,-19.684375,-17.7025
2021-06-22 09:50:20+02:00,20400000.0,3090626.0,12.012000007629394,0.7270000029355288,27.0,-55.64375,-85.856875,-85.856875,-93.523125,-125.55375,-93.523125,38954.0,-17.87125,-19.696875,-17.854375
