datarate,PCell_RSRP_max,PCell_RSRQ_max,PCell_RSSI_max,PCell_SNR_1,PCell_SNR_2,PCell_Uplink_Num_RBs,PCell_Uplink_TB_Size,PCell_Uplink_Tx_Power_(dBm),PCell_Uplink_frequency,PCell_Uplink_bandwidth_MHz,PCell_Cell_Identity,PCell_freq_MHz,Latitude,Longitude,Altitude,speed_kmh,COG,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,cloudCover,uvIndex,visibility,Traffic Jam Factor,date
40200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.513145,13.331301666666667,26.6,8.148800000000001,89.0,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:50
39000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.513146666666664,13.331331666666667,26.9,6.1116,88.4,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:51
40100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.513146666666664,13.331355,27.2,5.1856,88.2,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:52
40800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.513151666666666,13.331386666666667,29.1,8.8896,86.6,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:53
41300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.513155,13.331435,29.2,13.89,85.0,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:54
39000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51315666666667,13.331501666666666,29.2,17.7792,84.0,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,3.56064,2021-06-23 09:29:55
40600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51316166666667,13.331578333333333,29.2,19.446,83.2,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,3.56064,2021-06-23 09:29:56
39600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51316833333333,13.331666666666667,29.3,22.5944,82.9,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,3.56064,2021-06-23 09:29:57
39900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.513175,13.331768333333333,29.3,26.2984,83.3,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,3.56064,2021-06-23 09:29:58
38100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51318333333333,13.331885,29.3,29.446800000000003,83.4,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,3.56064,2021-06-23 09:29:59
